等级	升级经验
level	exp
int	int
1	10
2	20
3	40
4	80
5	120
6	160
7	200
8	240
9	280
10	320
11	360
12	400
13	440
14	480
15	520
16	560
17	600
18	640
19	680
20	720
21	760
22	800
23	840
24	880
25	920
26	960
27	1000
28	1040
29	1080
30	1120
31	1160
32	1200
33	1240
34	1280
35	1320
36	1360
37	1400
38	1440
39	1480
40	1520
41	1560
42	1600
43	1640
44	1680
45	1720
46	1760
47	1800
48	1840
49	1880
50	1920
51	1960
52	2000
53	2040
54	2080
55	2120
56	2160
57	2200
58	2240
59	2280
60	2320
61	2360
62	2400
63	2440
64	2480
65	2520
66	2560
67	2600
68	2640
69	2680
70	2720
71	2760
72	2800
73	2840
74	2880
75	2920
76	2960
77	3000
78	3040
79	3080
80	3120
81	3160
82	3200
83	3240
84	3280
85	3320
86	3360
87	3400
88	3440
89	3480
90	3520
91	3560
92	3600
93	3640
94	3680
95	3720
96	3760
97	3800
98	3840
99	3880
100	3920
101	3960
102	4000
103	4040
104	4080
105	4120
106	4160
107	4200
108	4240
109	4280
110	4320
111	4360
112	4400
113	4440
114	4480
115	4520
116	4560
117	4600
118	4640
119	4680
120	4720
121	4760
122	4800
123	4840
124	4880
125	4920
126	4960
127	5000
128	5040
129	5080
130	5120
131	5160
132	5200
133	5240
134	5280
135	5320
136	5360
137	5400
138	5440
139	5480
140	5520
141	5560
142	5600
143	5640
144	5680
145	5720
146	5760
147	5800
148	5840
149	5880
150	5920
151	5960
152	6000
153	6040
154	6080
155	6120
156	6160
157	6200
158	6240
159	6280
160	6320
161	6360
162	6400
163	6440
164	6480
165	6520
166	6560
167	6600
168	6640
169	6680
170	6720
171	6760
172	6800
173	6840
174	6880
175	6920
176	6960
177	7000
178	7040
179	7080
180	7120
181	7160
182	7200
183	7240
184	7280
185	7320
186	7360
187	7400
188	7440
189	7480
190	7520
191	7560
192	7600
193	7640
194	7680
195	7720
196	7760
197	7800
198	7840
199	7880
