ID	名称	备注	槽位	地图类型	区域ID	上一个地图	行动力	时间
id	name	remark	slot	type	areaId	lastId	power	time
int	string	string	int	MapType	int	int	int	float
10101	小蘑菇		0	0	101	0	3	30
10102	蜗牛花园		1	0	101	10101	3	30
10103	小树林		2	0	101	10102	3	30
10104	大蘑菇		3	0	101	10103	3	30
10105	修炼场		4	0	101	10104	3	30
10106	选择之岔路	通往明珠	5	0	101	10105	3	30						
10201	明珠港郊外		0	0	102	0	3	30
10202	小道1		1	0	102	10201	3	30
10203	小道2		2	0	102	10202	3	30
10204	叉路口		3	0	102	10203	3	30
10205	废弃工地		4	0	102	10204	3	30
10206	坠落危险区	废弃	5	0	102	10205	3	30
10207	梦境小道		6	0	102	10204	3	30
10208	北部小山		7	0	102	10207	3	30
10209	奇怪的山丘	射手	8	3	102	10207	6	60								
10301	都市郊外		0	0	103	0	3	30
10302	石冢荒野		1	0	103	10301	3	30
10303	部落南部	勇士	2	0	103	10302	3	30
10304	沼泽地		3	0	103	10301	3	30
10305	野生鳄鱼沼泽		4	0	103	10304	3	30
10306	鳄鱼潭		5	0	103	10305	3	30
10307	看不见的危险		6	0	103	10306	3	30
10308	深泥潭	林中	7	0	103	10307	3	30
10309	一号线第一区间		8	0	103	10301	3	30
10310	一号线第二区间		9	0	103	10309	3	30
10311	一号线第三区间		10	0	103	10310	3	30
10312	二号线第一区间		11	0	103	10301	3	30
10313	二号线第二区间		12	0	103	10312	3	30
10314	二号线第三区间		13	0	103	10313	3	30							
10401	孢子山丘		0	0	104	0	3	30
10402	哼唱小道		1	0	104	10401	3	30
10403	银莲花树丛		2	0	104	10402	3	30
10404	森林的起点		3	0	104	10403	3	30
10405	发光森林通道	密林	4	0	104	10404	3	30
10406	青蘑菇森林		5	0	104	10403	3	30
10407	幽灵蘑菇森林	林中	6	0	104	10406	3	30
10408	蘑菇王小道	BOSS	7	3	104	10402	3	60
10409	蓝蘑菇王森林	BOSS	8	3	104	10406	3	60
10410	僵尸蘑菇王山丘	BOSS	9	3	104	10407	3	60							
10501	部落北部		0	0	105	0	3	30
10502	风沙山丘		1	0	105	10501	3	30
10503	小岩石路		2	0	105	10502	3	30
10504	大岩石路		3	0	105	10503	3	30
10505	戈壁地带		4	0	105	10504	3	30
10506	旋风地带	BOSS，林中	5	0	105	10505	6	60
10507	野猪领土		6	0	105	10502	3	30
10508	野生猪猪的领土		7	0	105	10507	3	30
10509	铁甲猪猪的领土		8	0	105	10508	3	30
10510	燃烧的热气		9	0	105	10509	3	30
10511	灰烬之地	BOSS	10	0	105	10510	6	60								
10601	接近风的地方		0	0	106	0	3	30
10602	接近鸟的地方		1	0	106	10601	3	30
10603	接近天的地方		2	0	106	10602	3	30
10604	巨大的树		3	0	106	10603	3	30
10605	绿色树枝		4	0	106	10604	3	30
10606	森林空地		5	0	106	10605	3	30
10607	幼苗森林		6	0	106	10606	3	30
10608	森林尽头		7	0	106	10607	3	30								
10701	寂静的湿地		0	0	107	0	3	30
10702	潮湿的湿地		1	0	107	10701	3	30
10703	光照不到的地方		2	0	107	10702	3	30
10704	洞穴悬崖		3	0	107	10703	3	30
10705	冰冷的风		4	0	107	10704	3	30
10706	冰冷的洞穴		5	0	107	10705	3	30
10707	神殿入口		6	0	107	10706	3	30
10708	倒塌的神殿		7	0	107	10707	3	30
10709	无尽的走廊		8	0	107	10708	3	30
10710	阴森的神殿		9	0	107	10709	3	30
10711	禁忌祭坛	BOSS	10	0	107	10710	6	60
